Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ahmad, S.",Green Human Resource Management: Policies and practices,2015,Cogent Business and Management,2,1,1030817,,,66,10.1080/23311975.2015.1030817,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032946679&partnerID=40&md5=369af890fb8f04f86ac6e86284b65a94,Review,Final,Open Access,Scopus,2-s2.0-85032946679
"Boselie, P., Brewster, C.",The search for panaceas in Strategic Human Resource Management: A wrong turn for HRM research?,2015,Handbook of Research on Management Ideas and Panaceas: Adaptation and Context,,,,130,146,1,10.4337/9781783475605.00020,https://www.scopus.com/inward/record.url?eid=2-s2.0-85039552537&partnerID=40&md5=9cdd5b3100a506eee428561357e29933,Book Chapter,Final,,Scopus,2-s2.0-85039552537
"Chen, S., Zhang, G., Zhang, A., Xu, J.",Erratum: Collectivism-oriented human resource management and innovation performance: An examination of team reflexivity and team psychological safety (Journal of Management and Organization (2015) DOI: 10.1017/jmo.2015.50),2015,Journal of Management and Organization,22,4,,549,,,10.1017/jmo.2016.1,https://www.scopus.com/inward/record.url?eid=2-s2.0-84956888677&partnerID=40&md5=e3c42522016b432437725e9976a3dda7,Erratum,Final,Open Access,Scopus,2-s2.0-84956888677
"Chen, S., Zhang, G., Zhang, A., Xu, J.",Collectivism-oriented human resource management and innovation performance: An examination of team reflexivity and team psychological safety,2015,Journal of Management and Organization,22,4,,535,548,4,10.1017/jmo.2015.50,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949554935&partnerID=40&md5=51b2d0d4061ed7dc0d4dfccbdbb819d9,Article,Final,,Scopus,2-s2.0-84949554935
"Ismail, H.N., Nakkache, L.",Gender Differences at Work: Experiencing Human Resource Management Policies in Lebanese Firms,2015,Global Business Review,16,6,,907,919,7,10.1177/0972150915597592,https://www.scopus.com/inward/record.url?eid=2-s2.0-84958234139&partnerID=40&md5=5ea0c95cb9b999c6fc2565b55b1575b6,Article,Final,,Scopus,2-s2.0-84958234139
"La Forgia, G., Raha, S., Shaik, S., Maheshwari, S.K., Ali, R.",Parallel Systems and Human Resource Management in India's Public Health Services: A View from the Front Lines,2015,Public Administration and Development,35,5,,372,389,3,10.1002/pad.1738,https://www.scopus.com/inward/record.url?eid=2-s2.0-84956898675&partnerID=40&md5=4f8b965b4089941708e4bb0642a07752,Article,Final,,Scopus,2-s2.0-84956898675
"Lei, R., Yan, Z., Lei, P.",A study based on the effect of strategic orientation on management innovation and human resource management of a business,2015,Acta Oeconomica,65,,,87,99,1,10.1556/032.65.2015.S2.7,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954348676&partnerID=40&md5=fe3726d10b774d6f98bd380df6241cda,Conference Paper,Final,,Scopus,2-s2.0-84954348676
"Li, J.Y., Lin, Y.C., Shieh, C.-J.",Effects of High-Tech corporate characteristics on social capital and role of human resource management,2015,Acta Oeconomica,65,,,209,222,,10.1556/032.65.2015.S2.16,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954310858&partnerID=40&md5=505234e989bafe8fa9d19700105f8419,Conference Paper,Final,,Scopus,2-s2.0-84954310858
"Crowley-Henry, M., Heaslip, G., Martin, J.","Corrigendum to ""Short-term international assignments. Military perspectives and implications for international human resource management"" [Eur. Manag. J., 32, (2014), 752-760]",2015,European Management Journal,33,6,,500,,,10.1016/j.emj.2015.11.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-84951816216&partnerID=40&md5=274e1119a72cfcde60d2fdd71d3d040a,Erratum,Final,,Scopus,2-s2.0-84951816216
"Fahmi, A., Derakhshan, A., Kahraman, C.",Human resources management using interval valued intuitionistic fuzzy analytic hierarchy process,2015,IEEE International Conference on Fuzzy Systems,2015-November,,7338094,,,7,10.1109/FUZZ-IEEE.2015.7338094,https://www.scopus.com/inward/record.url?eid=2-s2.0-84975754682&partnerID=40&md5=6b926e84345e3c1be4919c7c51723be8,Conference Paper,Final,,Scopus,2-s2.0-84975754682
"Mammadova, M.G., Jabrayilova, Z.G.",Decision-making support for human resources management on the basis of multi-criteria optimization method,2015,"9th International Conference on Application of Information and Communication Technologies, AICT 2015 - Proceedings",,,7338627,579,582,4,10.1109/ICAICT.2015.7338627,https://www.scopus.com/inward/record.url?eid=2-s2.0-84960927425&partnerID=40&md5=b2742f4fbc5587c64f9c4d49d1ba9897,Conference Paper,Final,,Scopus,2-s2.0-84960927425
